117,29,1
117,30,2
116,28,1
116,28,1
116,28,2
117,28,3
117,28,4
118,29,5
118,29,6
119,29,7
119,29,8
120,29,9
120,29,10
120,29,11
120,30,12
121,30,13
122,28,14
122,29,15
122,29,16
122,30,17
123,29,18
123,29,19
123,30,20
124,30,21
124,29,22
124,30,23
124,30,24
125,30,25
126,30,26
126,29,27
127,31,28
127,31,29
128,32,30
128,32,31
129,32,32
129,32,33
129,32,34
129,32,35
130,32,36
130,32,37
131,32,38
131,33,39
131,32,40
131,32,41
130,31,42
131,31,43
132,31,44
132,31,45
130,29,46
130,29,47
131,29,48
131,29,49
132,29,50
132,29,51
133,30,52
133,29,53
135,30,54
135,29,55
135,30,56
136,30,57
136,30,58
137,30,59
138,30,60
138,30,61
139,30,62
140,30,63
141,31,64
141,31,65
142,31,66
142,31,67
144,31,68
145,32,69
146,31,70
146,31,71
147,32,72
148,33,73
149,33,74
150,33,75
151,32,76
151,32,77
152,31,78
153,31,79
154,32,80
155,32,81
156,32,82
158,32,83
159,32,84
160,32,85
161,33,86
162,33,87
163,33,88
164,32,89
165,33,90
167,33,91
167,33,92
169,33,93
170,33,94
172,33,95
173,33,96
174,33,97
176,34,98
177,34,99
178,33,100
180,33,101
181,34,102
182,33,103
184,34,104
185,34,105
187,34,106
189,34,107
190,34,108
192,35,109
193,35,110
194,34,111
196,34,112
198,35,113
199,35,114
201,35,115
202,35,116
204,36,117
205,35,118
207,35,119
209,36,120
211,35,121
212,36,122
213,36,123
215,36,124
217,36,125
218,36,126
220,36,127
221,37,128
222,37,129
224,36,130
226,37,131
228,37,132
230,37,133
230,37,134
233,37,135
234,37,136
236,37,137
238,37,138
239,38,139
241,37,140
243,37,141
244,38,142
246,37,143
248,38,144
250,38,145
252,38,146
254,39,147
255,38,148
257,39,149
259,39,150
260,39,151
262,39,152
264,39,153
265,39,154
268,39,155
269,40,156
270,40,157
272,40,158
274,40,159
275,41,160
277,41,161
279,41,162
280,42,163
